 2019/04/15-14:10	 1684.05	 1689.40	 1683.77	 1686.83	         170361	           	       0.00	  170361.00	  171194.41	  150032.91	      -5.07	      -3.66	      -2.84	
 2019/04/15-14:15	 1687.04	 1688.02	 1686.63	 1687.46	         111312	           	       0.00	  111312.00	  161326.80	  150036.59	      -5.06	      -3.94	      -2.24	
 2019/04/15-14:20	 1687.78	 1689.05	 1685.97	 1686.39	         128094	           	       0.00	  128094.00	  154278.00	  150281.70	      -5.07	      -4.16	      -1.82	
 2019/04/15-14:25	 1686.48	 1687.37	 1683.38	 1683.48	         149268	           	       0.00	  149268.00	  150744.80	  151933.00	      -5.26	      -4.38	      -1.75	
 2019/04/15-14:30	 1683.39	 1683.39	 1679.94	 1679.94	         173155	           	       0.00	  173155.00	  146438.00	  157184.50	      -5.63	      -4.63	      -1.99	
 2019/04/15-14:35	 1680.09	 1686.11	 1679.92	 1684.17	         170124	           	       0.00	  170124.00	  146390.59	  158792.50	      -5.51	      -4.81	      -1.41	
 2019/04/15-14:40	 1684.24	 1684.24	 1679.40	 1680.00	         197009	           	       0.00	  197009.00	  163530.00	  162428.41	      -5.70	      -4.99	      -1.42	
 2019/04/15-14:45	 1680.20	 1680.51	 1674.59	 1674.73	         252067	           	       0.00	  252067.00	  188324.59	  171301.30	      -6.19	      -5.23	      -1.93	
 2019/04/15-14:50	 1674.66	 1675.00	 1671.66	 1671.66	         322017	           	       0.00	  322017.00	  222874.41	  186809.59	      -6.76	      -5.53	      -2.45	
 2019/04/15-14:55	 1671.55	 1671.55	 1666.65	 1667.92	         411679	           	       0.00	  411679.00	  270579.19	  208508.59	      -7.42	      -5.91	      -3.02	
 2019/04/15-15:00	 1667.62	 1667.73	 1666.90	 1666.90	         321616	           	       0.00	  321616.00	  300877.59	  223634.09	      -7.94	      -6.32	      -3.24	
 2019/04/16-09:35	 1656.76	 1656.76	 1645.62	 1649.35	         836232	           	       0.00	  836232.00	  428722.19	  296126.09	      -9.65	      -6.98	      -5.34	
 2019/04/16-09:40	 1649.64	 1654.56	 1649.54	 1649.54	         499676	           	       0.00	  499676.00	  478244.00	  333284.31	     -10.87	      -7.76	      -6.22	
 2019/04/16-09:45	 1649.61	 1654.28	 1649.52	 1654.28	         374596	           	       0.00	  374596.00	  488759.81	  355817.09	     -11.32	      -8.47	      -5.70	
 2019/04/16-09:50	 1654.58	 1655.59	 1646.04	 1646.14	         363214	           	       0.00	  363214.00	  479066.81	  374823.00	     -12.20	      -9.22	      -5.96	
 2019/04/16-09:55	 1645.67	 1646.98	 1642.17	 1642.17	         366025	           	       0.00	  366025.00	  487948.59	  394413.09	     -13.06	      -9.99	      -6.15	
 2019/04/16-10:00	 1641.79	 1645.28	 1640.97	 1640.97	         343883	           	       0.00	  343883.00	  389478.81	  409100.50	     -13.68	     -10.72	      -5.91	
 2019/04/16-10:05	 1640.99	 1646.00	 1640.65	 1643.06	         283974	           	       0.00	  283974.00	  346338.41	  412291.19	     -13.85	     -11.35	      -5.00	
 2019/04/16-10:10	 1643.35	 1643.35	 1639.72	 1641.98	         297845	           	       0.00	  297845.00	  330988.19	  409874.00	     -13.91	     -11.86	      -4.09	
 2019/04/16-10:15	 1641.98	 1643.08	 1638.30	 1639.33	         281308	           	       0.00	  281308.00	  314607.00	  396836.91	     -14.00	     -12.29	      -3.43	
 2019/04/16-10:20	 1639.32	 1642.43	 1639.32	 1642.01	         224122	           	       0.00	  224122.00	  286226.41	  387087.50	     -13.71	     -12.57	      -2.27	
 2019/04/16-10:25	 1642.01	 1646.62	 1642.01	 1645.61	         215089	           	       0.00	  215089.00	  260467.59	  324973.19	     -13.03	     -12.66	      -0.73	
 2019/04/16-10:30	 1645.89	 1647.31	 1643.85	 1647.21	         165935	           	       0.00	  165935.00	  236859.80	  291599.09	     -12.23	     -12.58	       0.70	
 2019/04/16-10:35	 1647.22	 1651.27	 1647.01	 1650.51	         259193	           	       0.00	  259193.00	  229129.41	  280058.81	     -11.19	     -12.30	       2.21	
 2019/04/16-10:40	 1650.39	 1650.49	 1646.38	 1647.96	         204820	           	       0.00	  204820.00	  213831.80	  264219.41	     -10.46	     -11.93	       2.95	
 2019/04/16-10:45	 1648.03	 1652.72	 1647.91	 1652.72	         209126	           	       0.00	  209126.00	  210832.59	  248529.50	      -9.38	     -11.42	       4.08	
 2019/04/16-10:50	 1652.54	 1655.12	 1652.36	 1654.85	         188237	           	       0.00	  188237.00	  205462.20	  232964.91	      -8.27	     -10.79	       5.05	
 2019/04/16-10:55	 1654.85	 1655.25	 1651.95	 1652.93	         158507	           	       0.00	  158507.00	  203976.59	  220418.20	      -7.45	     -10.12	       5.35	
 2019/04/16-11:00	 1652.92	 1653.00	 1648.00	 1648.02	         171082	           	       0.00	  171082.00	  186354.41	  207741.91	      -7.12	      -9.52	       4.81	
 2019/04/16-11:05	 1648.01	 1648.11	 1645.68	 1646.07	         182512	           	       0.00	  182512.00	  181892.80	  197862.30	      -6.93	      -9.00	       4.15	
 2019/04/16-11:10	 1645.93	 1646.82	 1642.38	 1642.53	         179806	           	       0.00	  179806.00	  176028.80	  193430.70	      -6.99	      -8.60	       3.23	
 2019/04/16-11:15	 1642.27	 1650.57	 1642.07	 1649.68	         181854	           	       0.00	  181854.00	  174752.20	  190107.20	      -6.38	      -8.16	       3.55	
 2019/04/16-11:20	 1649.67	 1652.63	 1649.38	 1651.37	         141380	           	       0.00	  141380.00	  171326.80	  187651.70	      -5.70	      -7.66	       3.93	
 2019/04/16-11:25	 1651.64	 1659.72	 1650.98	 1659.65	         179997	           	       0.00	  179997.00	  173109.80	  179732.09	      -4.44	      -7.02	       5.16	
 2019/04/16-11:30	 1659.43	 1663.78	 1659.43	 1663.78	         188855	           	       0.00	  188855.00	  174378.41	  178135.59	      -3.07	      -6.23	       6.31	
